City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,mili,6.0815,171.735,28.91,70,18,4.23,MH,1728833717
258,fale old settlement,-9.3852,-171.2468,27.29,77,73,4.38,TK,1728833718
259,carutapera,-1.195,-46.02,31.53,53,90,5.59,BR,1728833720
260,santiago,-33.4569,-70.6483,22.7,57,0,2.06,CL,1728833709
261,ola,59.5833,151.2833,1.57,92,100,2.89,RU,1728833722
262,tuy hoa,13.0833,109.3,24.76,95,79,1.09,VN,1728833724
263,waingapu,-9.6567,120.2641,26.5,77,73,2.57,ID,1728833725
264,coahuayana de hidalgo,18.7,-103.6583,28.89,57,5,1.21,MX,1728833726
265,susuman,62.7833,148.1667,-7.76,97,100,0.86,RU,1728833729
266,saeby,57.3319,10.5225,10.96,74,79,3.42,DK,1728833730
267,churapcha,62.0025,132.4325,-3.12,66,100,1.11,RU,1728833731
268,pangai,-19.8,-174.35,24.94,82,60,6.22,TO,1728833734
269,kayes,14.0,-11.0,32.05,51,100,4.09,ML,1728833735
270,london,51.5085,-0.1257,11.28,67,100,1.54,GB,1728833466
271,tiksi,71.6872,128.8694,-10.85,92,100,3.17,RU,1728833738
272,polovinnoye,54.7914,65.9864,-4.36,90,24,1.7,RU,1728833739
273,yuzhno-kurilsk,44.0306,145.8556,10.58,60,2,6.77,RU,1728833741
274,neopolis,-10.32,-36.5794,32.84,40,19,6.74,BR,1728833742
275,praia,14.9215,-23.5087,29.3,74,40,2.57,CV,1728833743
276,konarka,19.9,86.1167,27.22,76,24,3.08,IN,1728833745
277,birao,10.2849,22.7882,27.33,67,79,1.38,CF,1728833746
278,uglegorsk,49.0833,142.0333,7.19,55,1,0.5,RU,1728833749
279,andilamena,-17.0167,48.5833,14.63,92,41,3.68,MG,1728833750
280,porto velho,-8.7619,-63.9039,29.03,58,0,2.57,BR,1728833751
281,greymouth,-42.4667,171.2,4.79,86,100,3.17,NZ,1728833753
